Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"PAREDÃO! 🧤🔥 Apesar da derrota, @felipe_fortaleza_12 brilhou demais no gol do Independente-AP! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592724576799296780,2026/01/07 20:49:18,226102,9126,42,121,116
QUE PINTURAAAA! 😮‍💨 Que golaço absurdo do Pedro Henrique pro Juventude! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592721926196563212,2026/01/07 20:39:01,8458,340,6,7,3
"GOLAÇO, WENDELL! 🔥 O jogador do Náutico-PE aproveitou o erro adversário e mandou um belo gol de cobertura! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592716812777835832,2026/01/07 20:19:12,11795,539,5,10,4
"DE PRIMEIRA, BIDU! 😮‍💨🔥 #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592707359865113912,2026/01/07 19:42:28,8330,359,5,5,4
NO LUGAR CERTO! Isac marca o segundo do São Paulo! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592704559076691212,2026/01/07 19:31:37,4626,129,4,3,3
PAULINHO NÃO PERDOA! TEM GOL DO SÃO PAULO NA COPINHA SIL 2026! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592703339494690059,2026/01/07 19:26:51,26720,1099,6,9,11
PAREEEEECE QUE ELE TÁ VENDENDO ÁGUA….. 💦🤣🤣🤣 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592701394658823435,2026/01/07 19:19:19,11720,678,8,19,17
"COMBINAÇÃO PERFEITA EM COSMÓPOLIS! Nada como acompanhar um jogo da Copinha Sil 2026 com um pastel e caldo de cana, né? A adm ficou na vontade aqui 😅 #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592672262407425292,2026/01/07 17:26:15,4725,64,3,0,1
DE PRIMEIRA! LUCAS NÃO PERDEU A CHANCE E SOLTOU UM FOGUETE PARA FECHAR A VITÓRIA DO CEARÁ 🚀 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592444674279755019,2026/01/07 02:43:09,208352,8079,27,93,98
QUE SEQUÊNCIA! O Kaique Feijó não deixou passar nada hoje! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592428388791373067,2026/01/07 01:40:01,21231,961,7,15,9
TOMA PEDACLETE!  O ROGER VIDAL APRONTOU DE NOVO! #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7592405099176086805,2026/01/07 00:09:59,219330,20033,74,581,284
O LEO BORGES É TRANQUILO E CALMO! #CopinhaSil2026 🎥 Operário Ferroviário ,https://www.tiktok.com/@copinha/video/7592351021733530900,2026/01/06 20:40:01,38493,1598,5,55,23
A PERGUNTA QUE FICA É: QUEM É O DONO DO GOL? 🤣🤣🤣 Eles tiveram a mesma ideia e deu MUITO CERTO! 👏 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592337222750309643,2026/01/06 19:46:11,41053,2322,11,20,27
GOLAAAAAÇOOOO! 🔥 O chutaço de surpresa do @gilvan_.09 é um absurdo! 🥵 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592335298730675467,2026/01/06 19:38:39,220825,29777,156,3151,1045
QUE PASSE ABSURDO! 😮‍💨🤌 O @vitorfonseca.5 mandou o lançamento perfeito pro @williemartins9 concluir o golaço do Goiás! 🔥 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592333170616438027,2026/01/06 19:30:25,14571,890,8,16,9
"QUE LIIINDOOOO! Que categoria do Deivid, do Santa Fé! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592321380436184332,2026/01/06 18:44:39,5357438,32314,39,688,560
"RABIIIXXXCAAAA, ROGER VIDAL! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592314500724886840,2026/01/06 18:17:59,170483,15875,19,467,190
QUE GOLAÇO DO AMÉRICA!  O Kayan entrou no jogo e já deixou o dele! #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7592310892688149768,2026/01/06 18:03:59,13383,544,6,29,7
FACULDADE DE PÊNALTI?!  Que categoria na batida do Henrique Miranda!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7592310202817367317,2026/01/06 18:01:26,10422,622,5,5,4
GOLAAAAÇO DO PANTERA!  E com direito a uma narração diferenciada 😅 #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7592304899594013960,2026/01/06 17:40:44,16744,1209,5,10,14
"TOME CANETA! O Paraná é ousado, hein?! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592297778710138124,2026/01/06 17:13:05,21337,1343,10,6,13
"BOM, BOM, BOM! Coloca na conta mais um gol do João Bom, do Volta Redonda! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592293547592797460,2026/01/06 16:56:52,217293,11857,82,208,101
"QUE PINTURA, FLU! 😮‍💨 Vagno marca o primeiro do Tricolor na Copinha Sil, e foi logo UM GOLAÇO! 🔥🇭🇺 #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592063662999833912,2026/01/06 02:04:42,27300,1994,10,44,21
PAREDÃO! 🧤 O goleirão dos @leoesdabase foi um grande destaque do jogo contra o Forte-ES! 👏👏👏 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592059346490526988,2026/01/06 01:48:01,21792,1052,6,6,5
TEM GOL DO VERDÃO! Luis Sabóia tabela na entrada da área e anota o primeiro das Crias da Academia na Copinha Sil 2026! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592014763467590968,2026/01/05 22:55:11,40203,2095,22,12,19
OLHA O CHUUUUUTEEEE! Tico soltou o pé da entrada da área e balançou a rede para o Remo! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7591996658347412747,2026/01/05 21:44:39,124984,4083,12,31,24
