Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
Elkin Muñoz e Javari: Una historia de amor. 🇪🇨🤝🇮🇹 Essa semana tem decisão em casa e a torcida do Juventus já tá ansiosa pra ver o equatoriano aprontar mais uma vez! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7636801580779556103,2026/05/06 15:30:21,4009,92,0,2,3
"Isso que é “visão de sogo” hein, Kadu Barone!? 😅 Pra completar o lançamento de craque, um golaço do Caio Vidal no acesso da Inter de Bebedouro. #PaulistãoA4Rivalo",https://www.tiktok.com/@paulistao/video/7636507881570897173,2026/05/05 20:30:21,8669,183,3,7,8
"ERRAR FAZ PARTE, MAS ABAIXAR A CABEÇA JAMAIS! 🧠 Estevão desabafou sobre a falha e destacou a força do elenco do Penapolense para superar o erro e conquistar o acesso. #PaulistãoA4Rivalo.",https://www.tiktok.com/@paulistao/video/7636430523081952520,2026/05/05 15:30:20,1413,43,0,3,1
"VAI CORRER A SÃO SILVESTRE PELO CLUBE DO CORAÇÃO! 🏃‍♂️🇳🇱 O torcedor do Penapolense prometeu correr a prova mais tradicional do estado pelo acesso do clube rumo ao Paulistão A3 Rivalo. Será que vale uma vaguinha pro nosso corredor aí, @sao_silvestre ? #PaulistãoA4Rivalo",https://www.tiktok.com/@paulistao/video/7636151928694590737,2026/05/04 21:30:22,4048,122,2,6,9
Ele voltou três anos depois pra cumprir a promessa do acesso do CAP! Luan Carioca agradeceu a todos os familiares e staff do Penapolense e contou sobre a sensação de conseguir o tão sonhado objetivo. #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7636051683910470920,2026/05/04 15:00:23,2138,56,2,1,0
A EMOÇÃO DO APITO FINAL! O Penapolense conquistou o acesso no Paulistão A4 Rivalo! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7635629445331684616,2026/05/03 11:42:03,2562,76,1,2,1
SÓ TAPA!  O Santos quase marca o segundo no Allianz Parque!  #FutebolPaulista #Santos ,https://www.tiktok.com/@paulistao/video/7635430798253985045,2026/05/02 22:51:19,14434,542,3,3,8
GABIGOL E ROLLHEISER!  A dupla do Peixão fez a festa após o gol!  #FutebolPaulista #Santos,https://www.tiktok.com/@paulistao/video/7635425838556646677,2026/05/02 22:32:03,6515,247,3,2,10
DEFENDEEEEEEEEU BRAZÃO! OLHA A DEFESA DO GOLEIRO DO PEIXÃO PARA EVITAR O EMPATE 😱 #PaulistasEmCampo,https://www.tiktok.com/@paulistao/video/7635424275347852565,2026/05/02 22:25:52,6998,126,4,1,3
UM GOL PARA A HISTÓRIA! Ryan subiu mais que a marcação para garantir o acesso para o Penapolense! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7635423573187906837,2026/05/02 22:23:10,1718,38,4,1,1
