Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
PRIMEIRO DIA DE FESTIVAL COMEÇANDO! 🌟 Bora que hoje é dia de muito futebol de mulheres aqui em Matão!  #FestivalFemininoSub14 ,https://www.tiktok.com/@paulistaofeminino/video/7645654074087476488,2026/05/30 12:02:44,1019,76,0,2,1
EMPATE DAS SEREIAS! Analuyza faz um golaço e deixa tudo igual no Superclássico F! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642501155905375489,2026/05/22 00:07:47,1555,61,0,0,2
É A VIRADA DAS BRABAS! 🤩 Gabi Zanotti apareceu no momento certo pra colocar o Timão à frente! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642498246132256008,2026/05/21 23:55:35,4071,107,0,0,0
"GABI ZANOTTI, A RESERVA DE LUXO! 🔥 A camisa dez do Corinthians saiu do banco pra virar o jogo para as Brabas! #PaulistãoF",https://www.tiktok.com/@paulistaofeminino/video/7642497447947783431,2026/05/21 23:53:16,2483,84,2,1,2
Simplesmente Leticia Santos! 🥵🎩 #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642497294079642887,2026/05/21 23:52:39,1585,131,0,3,0
"Que isso, hein, Leticia! 🎩😮‍💨 #PaulistãoF",https://www.tiktok.com/@paulistaofeminino/video/7642495053390187794,2026/05/21 23:44:00,1012,63,0,0,1
EVELYN RABISCANDO NO PARQUE SÃO JORGE! 🧜‍♀️🔥 #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642494794186378503,2026/05/21 23:42:57,3082,153,0,1,3
OLHA O EMPATE DAS BRABAS! Érika deixa tudo igual no Clássico Alvinegro! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642492707889335569,2026/05/21 23:35:08,1043,64,0,11,0
FAÇA O “C” IMEDIATAMENTE! 🫵 Jogadaça de Evelyn Bonifácio e cabeçada firme de Carol Baiana pra abrir o placar pro Santos no #SuperClássico pelo #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642492286487645456,2026/05/21 23:33:24,1778,73,0,0,2
Todos os detalhes do belo gol das Sereias da Vila! 🤩🔥 #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642492301259836690,2026/05/21 23:33:15,794,76,0,0,0
SALVOU DEMAIS! 😮‍💨 Taty Amaro fez milagre pra salvar as Sereias da Vila nos últimos minutos do primeiro tempo! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642491435622665488,2026/05/21 23:29:18,18433,127,3,4,4
GOLAÇO DA ZAGUEIRA DA FERROVIÁRIA! Monique soltou essa bomba e garantiu a vitória das Guerreiras Grenás no Superclássico F! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642488901885644048,2026/05/21 23:20:15,1335,29,0,0,0
TOQUEZINHO SUTIL PRO GOL! 🔥 Erika foi bem demais nesse cabeceio pra empatar pro Timão! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642488572494236944,2026/05/21 23:18:45,999,55,1,0,0
O GOL QUE ABRIU O PLACAR! ⚪⚫ Evelin Bonifácio mandou na medida pra Carol Baiana jogar pro fundo das redes! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642486820546022664,2026/05/21 23:11:57,1485,75,1,0,1
TUDO IGUAL NO SUPERCLÁSSICO! Maressa marca no final do segundo tempo para a Ferroviária e iguala o placar em Araraquara! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642486135012314375,2026/05/21 23:09:21,7221,60,0,0,7
PALMEIRAS NA FRENTE EM ARARAQUARA! Ana Guimarães bateu colocado e colocou as Palestrinas na vantagem no Superclássico F! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7642469055927995669,2026/05/21 22:03:05,8883,216,0,0,11
GOLAAAAAAÇOOOOOOO DA JÚLIA! A camisa 10 do São Paulo fez essa pintura na semifinal do Brasileirão Feminino Sub-20 e garantiu as Tricolores na decisão da competição! #ElasEmCampo #SãoPaulo 🎥SporTV,https://www.tiktok.com/@paulistaofeminino/video/7642109540258827537,2026/05/20 22:48:50,2631,132,2,1,2
