ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2091262948618523056,"Sat, Aug 22, 2026",PLAY IN! Oito equipes seguem de olho nas quatro vagas restantes para as quartas de final da Copa Paulista Rivalo 2026! CopaPaulistaRivalo https://t.co/c8PKo4pfeh,https://x.com/Paulistao/status/2091262948618523056,1487,17,44,0,0,0,1,3,2,0,0,0,0
2091261071864615174,"Sat, Aug 22, 2026",ÁGUIA DO VALE LASSIFICADA! O São José liderou o Grupo 4 e está garantido na próxima fase da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/P6seKhCVJL,https://x.com/Paulistao/status/2091261071864615174,1330,4,22,1,0,0,0,1,0,10,0,0,0
2091260791034929596,"Sat, Aug 22, 2026",MOLEQUE TRAVESSO CLASSIFICADO! O Juventus liderou o Grupo 3 e está garantido na próxima fase da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/uwyLOhnUVn,https://x.com/Paulistao/status/2091260791034929596,1340,4,11,0,0,0,0,1,1,0,0,0,0
2091260609140535725,"Sat, Aug 22, 2026",NORUSCA CLASSIFICADO! O Noroeste liderou o Grupo 2 e está garantido na próxima fase da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/kQEUVgQ9DI,https://x.com/Paulistao/status/2091260609140535725,1244,12,37,0,1,1,0,2,2,9,0,2,0
2091260484552929305,"Sat, Aug 22, 2026",ELEFANTE CLASSIFICADO! O Linense liderou o Grupo 1 e está garantido na próxima fase da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/8pfBYkLwWx,https://x.com/Paulistao/status/2091260484552929305,1234,5,11,0,0,0,0,1,2,0,0,0,0
2091148391782711320,"Sat, Aug 22, 2026",DOSE DUPLA! Ituano e Guarani vão a campo pela penúltima rodada da Série C. #PaulistasEmCampo https://t.co/AcLtX6k93N,https://x.com/Paulistao/status/2091148391782711320,1427,5,7,1,0,0,0,1,0,0,0,0,0
2091133289155494045,"Sat, Aug 22, 2026",NÃO VAI FALTAR EMOÇÃO NA ÚLTIMA RODADA DA PRIMEIRA FASE DA COPA PAULISTA RIVALO! #CopaPaulistaRivalo https://t.co/shbOBhs2tc,https://x.com/Paulistao/status/2091133289155494045,1032,3,10,0,0,0,0,0,0,1,0,0,0
2090921889585664446,"Fri, Aug 21, 2026","É O CAPITÃO, GUSTAVO GÓMEZ, O XERIFE DO VERDÃO! São nove edições seguidas marcando gols na @libertadoresbr - o primeiro jogador a atingir essa marca. #PaulistasEmCampo #Palmeiras https://t.co/crv4D0UtF3",https://x.com/Paulistao/status/2090921889585664446,9525,311,357,12,2,2,2,27,6,6,0,2,0
2090912963402100921,"Fri, Aug 21, 2026",RESTA UMA RODADA! Vem ver como está a classificação da Copa Paulista Rivalo antes da última rodada da primeira fase! #CopaPaulistaRivalo https://t.co/FdmlBn5T2T,https://x.com/Paulistao/status/2090912963402100921,2442,11,161,1,0,0,1,3,2,5,0,1,0
2090903316515496121,"Fri, Aug 21, 2026",O MATHEUZINHO É A RAÇA ALVINEGRA! #Corinthians #Libertadores #FutebolPaulista 🎥 @LibertadoresBR https://t.co/DA6U4bgwIW,https://x.com/Paulistao/status/2090903316515496121,2683,92,104,2,1,0,0,7,3,1,0,0,0
2090891693490864301,"Fri, Aug 21, 2026",Carlos Miguel foi decisivo para o Verdão nas oitavas da @libertadoresbr! #FutebolPaulista #Libertadores #Verdão 🎥 Libertadores https://t.co/gB3Yj4UkxT,https://x.com/Paulistao/status/2090891693490864301,3650,63,74,0,4,0,1,5,2,3,0,0,0
2090891692136386773,"Fri, Aug 21, 2026",VISITANTE INDIGESTO! O Verdão se tornou a equipe que mais venceu fora de casa no século pela @libertadoresbr. #PaulistasEmCampo #Palmeiras #Libertadores https://t.co/lOo2e2HI6u,https://x.com/Paulistao/status/2090891692136386773,4184,402,498,6,3,0,0,36,0,1,0,2,0
