"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo"
1033723512706991,100082080567569,"Paulistão F","Nada como um sábado recheado de jogos do Festival Paulista Sub-14 @petrobras 🤩
#FestivalPaulistaSub14Petrobras",,0,"08/22/2026 03:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02UCVr6jaY1nKx5XPhncfH7AgRUknKri4Rw9pqnhyVKLu7uytQuhDGqMRS12ojg4gjl,0,0,Fotos,,,,,Total,1677,1218,15,12,1,2,34,28,6,,,,,
1033329572746385,100082080567569,"Paulistão F","CAMINHADA DO BRASIL!
Rio de Janeiro, São Paulo e Brasília vão receber as #MulheresDesteSolo na primeira fase da Copa do Mundo de 2027.
#CopaDoMundo2027 #Brasil",,0,"08/21/2026 14:20",N/A,https://www.facebook.com/paulistaof/posts/pfbid02JkGFraT1SQEEdLLvN8gRZDDh2dHAJ6aCRpbhUGto7EmD7GmR4UNgBGyRQkD5fiopl,0,0,Fotos,,,,,Total,1107,775,17,15,1,1,15,5,10,,,,,
1032494962829846,100082080567569,"Paulistão F","GOLAÇO DAS GUERREIRINHAS!
Na goleada da Ferroviária contra o Clube Vital no Paulista F Sub-15 Petrobras, a Rafaela não quis saber de nada e mandou a bola pro fundo da rede passando por cima de todo mundo!
#PaulistaFSub15Petrobras","GOLAÇO DAS GUERREIRINHAS!
Na goleada da Ferroviária contra o Clube Vital no Paulista F Sub-15 Petrobras, a Rafaela não quis saber de nada e mandou a bola pro fundo da rede passando por cima de todo mundo!
#PaulistaFSub15Petrobras",42,"08/20/2026 14:30",auto,https://www.facebook.com/reel/1602240101336570/,0,0,Vídeos,,,,,Total,1451,1420,19,19,0,0,14,,14,10202.939,7.303,0,0,0
1032480819497927,100082080567569,"Paulistão F","POR CIMA DA GOLEIRA!
Clara Yasmin fez o gol que abriu o placar da vitória do Santo André contra o Sfera no Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras","POR CIMA DA GOLEIRA!
Clara Yasmin fez o gol que abriu o placar da vitória do Santo André contra o Sfera no Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",42,"08/20/2026 14:00",auto,https://www.facebook.com/reel/1713675196604005/,0,0,Vídeos,,,,,Total,3096,3072,24,24,0,0,47,,47,30284.267,10.131,0,0,0
1032411392838203,100082080567569,"Paulistão F","FUTEBOL PAULISTA NO MUNDIAL!
Nove atletas das minhas equipes vão representar a Seleção Feminina Sub-20 na Copa do Mundo da categoria, diretamente Polônia. 
#ElasEmCampo",,0,"08/20/2026 12:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0Qc8HBGSi7oDrwfcYCcr6QeXMhUs1XcJRGXH81CzMAGv3Gxfnrkc8ThaSeyVqM1Nnl,0,0,Fotos,,,,,Total,13003,9010,107,102,4,1,220,111,109,,,,,
1032371036175572,100082080567569,"Paulistão F","A CRAQUE DA RODADA É DAS BRABAS!
Jaqueline foi eleita o destaque da 6ª rodada do Paulistão F Petrobras!
#PaulistãoFPetrobras #CraqueDaRodada",,0,"08/20/2026 11:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02vMeQtfdrbzcpgYch7d1vcXxUtqiaPERnoU6b6gqWyNLUZyrcpUxof6sndc6Cmr2Sl,0,0,Fotos,,,,,Total,6093,4580,256,228,24,4,91,30,61,,,,,
1032243426188333,100082080567569,"Paulistão F","ANOTA NA AGENDA!
A @neoquimicaarena vai receber 10 jogos na Copa do Mundo Fifa 2027, a sede que mais receberá jogos no Mundial 🤩
#CopaDoMundo #VaiSerÉpico",,0,"08/20/2026 07:40",N/A,https://www.facebook.com/paulistaof/posts/pfbid0SqKeUFwCDhgJxverTGHoVLt6Ut299rDvZQLiVaThgMakexMAwGaaUxHtUfuHjXvEl,0,0,Fotos,,,,,Total,1004,653,10,10,0,0,27,17,10,,,,,
1031667606245915,100082080567569,"Paulistão F","RESTAM OITO!
Os confrontos das quartas de final do Paulista F Sub-20 @petrobras ficaram assim.
#PaulistaFSub20Petrobras",,0,"08/19/2026 14:03",N/A,https://www.facebook.com/paulistaof/posts/pfbid028C99EdADvjrDxVZ5FsZTBGKE9vHvhzwbdqfLrjfqcyxAWivSR6qDb9ZTYTjQ2NTrl,0,0,Fotos,,,,,Total,15482,10780,187,173,6,8,355,135,220,,,,,
1031665809579428,100082080567569,"Paulistão F","CHUVA DE GOLS!
Assim terminou a primeira fase do Paulista F Sub-20 @petrobras.
#PaulistaFSub20Petrobras",,0,"08/19/2026 14:01",N/A,https://www.facebook.com/paulistaof/posts/pfbid022RdXhrQYL8UrQpE28RTXcx6Zc7irf2td6nw5ApQLTpt4fxoE2WALfvZzaQWfeq3Cl,0,0,Fotos,,,,,Total,19189,12782,171,161,5,5,371,216,155,,,,,
1031297356282940,100082080567569,"Paulistão F","VALE TUDO!
Com transmissão do YouTube do @paulistao, a última rodada do Paulista F Sub-20 @petrobras promete.
#PaulistaFSub20Petrobras",,0,"08/19/2026 05:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02BesNq8MzGfmByrA5r1731ZEgXFpL41MNU5jMcRCNM3eNp6Wgk7pqbzRtDxEyTmVal,0,0,Fotos,,,,,Total,13685,9407,123,121,1,1,422,297,125,,,,,
