"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,"Visualizações de Posts orgânicos","Visualizações de Posts turbinados",Alcance,"Alcance de Posts orgânicos","Alcance de Posts turbinados","Visualizações de 3 segundos do vídeo","Visualizações do vídeo de 1 minuto","Visualizadores de 3 segundos","Visualizadores de 1 minuto","Visualizações do vídeo de 3 segundos de Posts turbinados","Visualizações do vídeo de 3 segundos de Posts orgânicos","Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Segundos de visualização","Média de Segundos de visualização"
797166033029408,100082080567569,"Paulistão F","AS FINAIS PAULISTAS DA @libertadores_fem!
Vem relembrar quais foram as duas vezes que equipes de São Paulo disputaram a final em busca da Glória Eterna! Assista ao vídeo completo no YouTube do @paulistao 😉
#PaulistãoFemininoSicredi #LembraDaqueleDia","AS FINAIS PAULISTAS DA @libertadores_fem!
Vem relembrar quais foram as duas vezes que equipes de São Paulo disputaram a final em busca da Glória Eterna! Assista ao vídeo completo no YouTube do @paulistao 😉
#PaulistãoFemininoSicredi #LembraDaqueleDia",38,"10/27/2025 14:30",N/A,https://www.facebook.com/reel/4248105398799769/,0,0,Vídeos,,,,,Total,1434,1434,0,1366,1366,0,346,0,342,0,0,346,22,22,0,0,5760.533,4.238
795448696534475,100082080567569,"Paulistão F","SÓ DEU ELES!
Um sabadão com 100% de aproveitamento para os visitantes na Taça Paulistana Petrobras.
#TaçaPaulistanaPetrobras",,0,"10/25/2025 13:08",N/A,https://www.facebook.com/paulistaof/posts/pfbid0KEyqUaFPSMxUdeHk6kXnsHasc7sCjCpiQczufW3Ad4d5KyAN592qrSPZur9KBUVml,0,0,Fotos,,,,,Total,3344,3344,0,2474,2474,0,0,0,0,0,0,0,22,20,0,2,,
795401216539223,100082080567569,"Paulistão F","BRASIL-SIL-SIL! 🇧🇷
Teve vitória da Seleção pra cima da Inglaterra!
#ElasEmCampo
📷Lívia Villas Boas/CBF",,0,"10/25/2025 11:47",N/A,https://www.facebook.com/paulistaof/posts/pfbid02iVBLAXC6a1vX7FnEdRRtwJRZDYfMqhPpQe3BFi5ti8m1ynL8ACcK4AksaKooTC8Vl,0,0,Fotos,,,,,Total,56491,56491,0,41364,41364,0,0,0,0,0,0,0,1550,1455,49,46,,
795160383229973,100082080567569,"Paulistão F","VAI, BRAAAAAAAAASIL! 🇧🇷🌟👀
A @selecaofemininadefutebol e a Inglaterra, atuais campeãs da Copa América e da Eurocopa, se enfrentam em um amistoso nesse sábado (25). Vai ser jogaço!
#ElasEmCampo #Brasil",,0,"10/25/2025 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02YviffaQKEcukjHgoNMeVVqmr2Mqpy7Hn8gVM9voeiguMampeiKNbW48rC2ASbN9gl,0,0,Fotos,,,,,Total,10154,10154,0,6899,6899,0,0,0,0,0,0,0,164,157,2,5,,
795080086571336,100082080567569,"Paulistão F","MAIS UMA!
Veio aí a nona rodada da Taça Paulistana @petrobras 🤩
#TaçaPaulistanaPetrobras",,0,"10/25/2025 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02oJKWcYJ3UuygLVmBfeBbdLrJPULzQxugLvfvszwoaHB4RimC5EZMuZEa5rmLg83el,0,0,Fotos,,,,,Total,3586,3586,0,2545,2545,0,0,0,0,0,0,0,20,18,0,2,,
794682849944393,100082080567569,"Paulistão F","MÉS QUE UN CLUB ❤️💙  A comitiva da #LALIGAWeekFutebolFeminino visitou o centro de treinamento de futebol feminino do Barcelona, para aprender todos os métodos de formação que tornam La Masia referência mundial! ⚽️",,0,"10/24/2025 16:24",N/A,https://www.facebook.com/paulistaof/posts/pfbid02AjnbG6y1VN6EAUaFAACuvkzaxn6U7aUhNVityzSLbRuwSPa4g6yPPLY9pQ6upfcYl,0,0,Texto,,,,,Total,1952,1952,0,1474,1474,0,0,0,0,0,0,0,15,15,0,0,,
794635926615752,100082080567569,"Paulistão F","LA 21 💙🤍 O Espanyol abriu as portas do seu centro de treinamento feminino para a comitiva da #LALIGAWeekFutebolFeminino conhecer de perto o trabalho desenvolvido pelo clube.",,0,"10/24/2025 14:52",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Cq7sZGUcuoV3jJw26EQ5QGiK6hGYuejCDHcqiayXbnBQnmiYWBxGfbJ8sJowvuPHl,0,0,Texto,,,,,Total,2134,2134,0,1608,1608,0,0,0,0,0,0,0,14,14,0,0,,
792851556794189,100082080567569,"Paulistão F","IMERSÃO NO ATLÉTICO DE MADRID FEMININO! 🇪🇸⚽
A comitiva da LaLiga Week Futebol Feminino acompanhou de perto o trabalho do Atlético de Madrid Feminino, com uma visita às instalações do clube, sessões de treino e uma palestra sobre a metodologia de formação e gestão da equipe.
O dia terminou com uma visita guiada ao estádio Riyadh Air Metropolitano!
#LALIGAWeekFutebolFeminino",,0,"10/22/2025 13:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0j3HeBKyzwaDLS58iR4k3NQRyow1Sy4jr9DJLrae5kpw4QJ1nvN8nn8HRMDaWackyl,0,0,Texto,,,,,Total,2504,2504,0,1842,1842,0,0,0,0,0,0,0,19,18,1,0,,
792820086797336,100082080567569,"Paulistão F","AS BRABAS EM BUSCA DO MUNDO! 🌟🏆
Vem conhecer o chaveamento da Copa dos Campeões Feminina da FIFA. O Corinthians enfrenta o Gotham FC, dos Estados Unidos, na semifinal da competição!
#ElasEmCampo",,0,"10/22/2025 12:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0ANiBHSqmb47WRpPRytBbY4LygruLK8WXLMxXfLwK8peLqpPkpnDNzmHU75H3fVxJl,0,0,Fotos,,,,,Total,313000,313000,0,203317,203317,0,0,0,0,0,0,0,4339,4090,153,96,,
792110096868335,100082080567569,"Paulistão F","ALÔ, TORCIDA DO VERDÃO!
A carreta de mamografia da campanha ""Marque Esse Gol"", uma iniciativa da FPF com a Fundação Laço Rosa e a Marque Esse Gol, chega no Allianz Parque. Acesse: www.marqueessegol.com.br e faça sua inscrição gratuitamente!
#FPF #MarqueEsseGol #OutubroRosa",,0,"10/21/2025 14:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02jzf1nrjaCDrnFoyssVCpynPtQDVrtbr2RLgZ6mNG4EHZJr4S4MxcK9VyKLgHwdPKl,0,0,Fotos,,,,,Total,895,895,0,653,653,0,0,0,0,0,0,0,15,14,0,1,,
792058860206792,100082080567569,"Paulistão F","FOCO NO FUTEBOL FEMININO!
A comitiva da LALIGA Week Futebol Feminino participou de uma aula sobre “a realidade do patrocínio no mundo do futebol feminino” e viu de perto como o investimento das marcas pode transformar a modalidade. #LALIGAWeekFutebolFeminino",,0,"10/21/2025 12:08",N/A,https://www.facebook.com/paulistaof/posts/pfbid02kj2gKVa8QDzAdYvwnAEDeQ4XJQ67pQZ1kYhTQiLybKR5iCCSDehrBGtCXAwyAPRal,0,0,Texto,,,,,Total,2103,2103,0,1468,1468,0,0,0,0,0,0,0,25,23,0,2,,
791264266952918,100082080567569,"Paulistão F",,,0,"10/20/2025 13:02",N/A,https://www.facebook.com/paulistaof/posts/pfbid0BoVU1qHqTAx1RyFRPBPUPQpWymD5DhFhUFsutwZfP8ZymXK29seoPbGtsihifVxol,0,0,Fotos,,,,,Total,21707,21707,0,15864,15864,0,0,0,0,0,0,0,760,716,29,15,,
791229486956396,100082080567569,"Paulistão F","EU VOU, MAS VOLTO! 
Rosana anunciou sua aposentadoria dos gramados quando jogava pelo Palmeiras. Hoje, retorna ao clube como treinadora. Será que ela está feliz? 🥹🤩
#ElasEmCampo #Palmeiras",,0,"10/20/2025 11:58",N/A,https://www.facebook.com/paulistaof/posts/pfbid0372yDFU9Fo2uRBNuZ37sRXmaVYAThedJC1wCpNyvGHf2TZ5aRDghyAYmsZmrd7surl,0,0,Fotos,,,,,Total,7652,7652,0,5290,5290,0,0,0,0,0,0,0,116,104,10,2,,
790155807063764,100082080567569,"Paulistão F","AS BRABAS DA AMÉRICA! 6️⃣🏆
#ElasEmCampo
📷Staff Images/Conmebol",,0,"10/19/2025 06:01",N/A,https://www.facebook.com/paulistaof/posts/pfbid0FC514dpAWugpsfy65M7PAx4M4HMVixhifidX9u8RVLtjzjgX2Mywyot38AwFhkiHl,0,0,Fotos,,,,,Total,35579,35579,0,25783,25783,0,0,0,0,0,0,0,1913,1758,63,92,,
790119997067345,100082080567569,"Paulistão F","As hexacampeãs da Libertadores Feminina estão passando pelo seu feed! 🏆
#ElasEmCampo
📷Staff Images/Conmebol",,0,"10/19/2025 05:07",N/A,https://www.facebook.com/paulistaof/posts/pfbid0sTM6VpFhzAbbaJVJAtg15pDBvZYpisXeYcPu61ernmfMk67cYXBjdLLDEkC9py1il,0,0,Fotos,,,,,Total,19436,19436,0,13449,13449,0,0,0,0,0,0,0,817,763,27,27,,
789704040442274,100082080567569,"Paulistão F","MAIS UMA! 🏆🏆🏆🏆🏆🏆
#ElasEmCampo
🎥Divulgação/Corinthians","MAIS UMA! 🏆🏆🏆🏆🏆🏆
#ElasEmCampo
🎥Divulgação/Corinthians",30,"10/18/2025 16:32",N/A,https://www.facebook.com/reel/2590605247973100/,0,0,Vídeos,,,,,Total,31302,31360,0,27940,27940,0,13617,0,13617,0,0,13617,867,821,16,30,234273.982,8.613
